DISTRICT,EN,YEAR
EVELYN,10712,1917
FITZROY,14122,1917
FLEMINGTON,22134,1917
GEELONG,14243,1917
GIPPSLAND EAST,6379,1917
GIPPSLAND NORTH,8888,1917
GIPPSLAND SOUTH,10069,1917
GIPPSLAND WEST,8842,1917
GLENELG,9145,1917
GOULBURN VALLEY,8700,1917
GRENVILLE,5457,1917
GUNBOWER,8354,1917
HAMPDEN,11568,1917
HAWTHORN,26177,1917
JIKA JIKA,30242,1917
KARA KARA,6800,1917
KORONG,7091,1917
LOWAN,9574,1917
MARYBOROUGH,7179,1917
MELBOURNE,8918,1917
MORNINGTON,14845,1917
NORTH MELBOURNE,17041,1917
OVENS,5988,1917
POLWARTH,10938,1917
PORT FAIRY,7802,1917
PORT MELBOURNE,16369,1917
PRAHRAN,20274,1917
RICHMOND,16990,1917
RODNEY,10351,1917
ST KILDA,29945,1917
STAWELL AND ARARAT,9055,1917
SWAN HILL,13950,1917
TOORAK,23718,1917
UPPER GOULBURN,8236,1917
WALHALLA,6343,1917
WANGARATTA,7719,1917
WARANGA,7060,1917
WARRENHEIP,6059,1917
WARRNAMBOOL,9077,1917
WILLIAMSTOWN,22201,1917
ABBOTSFORD,15408,1920
ALBERT PARK,21551,1920
ALLANDALE,5422,1920
BALLARAT EAST,10034,1920
BALLARAT WEST,10477,1920
BARWON,11814,1920
BENALLA,7851,1920
BENAMBRA,6612,1920
BENDIGO EAST,8337,1920
BENDIGO WEST,9164,1920
BOROONDARA,48523,1920
BORUNG,7707,1920
BRIGHTON,25969,1920
BRUNSWICK,25420,1920
BULLA,11360,1920
CARLTON,13443,1920
CASTLEMAINE AND MALDON,6604,1920
COLLINGWOOD,15389,1920
DALHOUSIE,7051,1920
DANDENONG,17564,1920
DAYLESFORD,6371,1920
DUNDAS,8250,1920
EAGLEHAWK,6556,1920
EAST MELBOURNE,12025,1920
ESSENDON,31344,1920
EVELYN,11952,1920
FITZROY,14767,1920
FLEMINGTON,22874,1920
GEELONG,14535,1920
GIPPSLAND EAST,6135,1920
GIPPSLAND NORTH,9140,1920
GIPPSLAND SOUTH,9695,1920
GIPPSLAND WEST,9571,1920
GLENELG,9031,1920
GOULBURN VALLEY,8666,1920
GRENVILLE,4930,1920
GUNBOWER,8978,1920
HAMPDEN,11358,1920
HAWTHORN,28940,1920
JIKA JIKA,34555,1920
KARA KARA,6348,1920
KORONG,6844,1920
LOWAN,9571,1920
MARYBOROUGH,6905,1920
MELBOURNE,8852,1920
MORNINGTON,15798,1920
NORTH MELBOURNE,17552,1920
OVENS,5295,1920
POLWARTH,10983,1920
PORT FAIRY,8028,1920
PORT MELBOURNE,16029,1920
PRAHRAN,20678,1920
RICHMOND,17383,1920
RODNEY,11330,1920
ST KILDA,34135,1920
STAWELL AND ARARAT,8043,1920
SWAN HILL,17619,1920
TOORAK,24725,1920
UPPER GOULBURN,8167,1920
WALHALLA,6413,1920
WANGARATTA,7469,1920
WARANGA,7060,1920
WARRENHEIP,5620,1920
WARRNAMBOOL,9347,1920
WILLIAMSTOWN,23281,1920
ABBOTSFORD,14506,1921
ALBERT PARK,20789,1921
ALLANDALE,5474,1921
BALLARAT EAST,9697,1921
BALLARAT WEST,10232,1921
BARWON,12042,1921
BENALLA,7927,1921
BENAMBRA,6621,1921
BENDIGO EAST,8805,1921
BENDIGO WEST,9429,1921
BOROONDARA,49157,1921
BORUNG,7824,1921
BRIGHTON,26285,1921
BRUNSWICK,25047,1921
BULLA,11290,1921
CARLTON,12762,1921
CASTLEMAINE AND MALDON,6621,1921
COLLINGWOOD,14796,1921
DALHOUSIE,6948,1921
DANDENONG,17719,1921
DAYLESFORD,6410,1921
DUNDAS,8215,1921
EAGLEHAWK,6412,1921
EAST MELBOURNE,12214,1921
ESSENDON,31676,1921
EVELYN,12151,1921
FITZROY,14745,1921
FLEMINGTON,23755,1921
GEELONG,14991,1921
GIPPSLAND EAST,6146,1921
GIPPSLAND NORTH,9122,1921
GIPPSLAND SOUTH,9702,1921
GIPPSLAND WEST,9663,1921
GLENELG,8996,1921
GOULBURN VALLEY,8865,1921
