DISTRICT,EN,YEAR,SEATS,PROP,Category
BENTLEIGH,40981,2014,1,40981,URBAN
BENTLEIGH,42772,2018,1,42772,URBAN
MARYBOROUGH,2610,1902,1,2610,RURAL
MELBOURNE,4565,1902,1,4565,URBAN
BERWICK,27495,1976,1,27495,URBAN
BERWICK,33097,1979,1,33097,URBAN
BERWICK,39779,1982,1,39779,URBAN
BERWICK,31074,1985,1,31074,URBAN
MORNINGTON,4667,1902,1,4667,RURAL
BERWICK,37351,1988,1,37351,URBAN
BERWICK,31776,1992,1,31776,URBAN
OVENS,2290,1902,1,2290,RURAL
POLWARTH,3458,1902,1,3458,RURAL
PORT FAIRY,2153,1902,1,2153,RURAL
PORT MELBOURNE,2732,1902,1,2732,URBAN
BERWICK,38794,1996,1,38794,URBAN
PRAHRAN,3163,1902,1,3163,URBAN
RICHMOND,6869,1902,2,3434.5,URBAN
BERWICK,44452,1999,1,44452,URBAN
RODNEY,6220,1902,2,3110,RURAL
ST KILDA,4426,1902,1,4426,URBAN
BOGONG,1933,1897,1,1933,RURAL
BOGONG,2124,1900,1,2124,RURAL
BOGONG,2438,1902,1,2438,RURAL
BOROONDARA,63123,1924,1,63123,URBAN
BOURKE EAST,2537,1897,1,2537,RURAL
BOURKE EAST,2899,1900,1,2899,RURAL
TOORAK,4753,1902,1,4753,URBAN
BOURKE EAST,2899,1902,1,2899,RURAL
BOURKE WEST,1902,1897,1,1902,RURAL
WARRENHEIP,2182,1902,1,2182,RURAL
WARRNAMBOOL,2311,1902,1,2311,RURAL
WILLIAMSTOWN,3411,1902,1,3411,URBAN
BOURKE WEST,2107,1900,1,2107,RURAL
ABBOTSFORD,4458,1904,1,4458,URBAN
ALBERT PARK,5056,1904,1,5056,URBAN
ALLENDALE,3815,1904,1,3815,RURAL
BALLARAT EAST,4672,1904,1,4672,METRO
BALLARAT WEST,4450,1904,1,4450,METRO
BARWON,3788,1904,1,3788,RURAL
BENALLA,3788,1904,1,3788,RURAL
BENAMBRA,2786,1904,1,2786,RURAL
BENDIGO EAST,3809,1904,1,3809,METRO
BENDIGO WEST,4459,1904,1,4459,METRO
BOROONDARA,5016,1904,1,5016,URBAN
BORUNG,3207,1904,1,3207,RURAL
BRIGHTON,3581,1904,1,3581,URBAN
BRUNSWICK,4787,1904,1,4787,URBAN
BULLA,3894,1904,1,3894,RURAL
CARLTON,4775,1904,1,4775,URBAN
CASTLEMAINE AND MALDON,3904,1904,1,3904,RURAL
COLLINGWOOD,5469,1904,1,5469,URBAN
DALHOUSIE,3986,1904,1,3986,RURAL
DANDENONG,4146,1904,1,4146,RURAL
DAYLESFORD,3333,1904,1,3333,RURAL
DUNDAS,3043,1904,1,3043,RURAL
EAGLEHAWK,3892,1904,1,3892,RURAL
EAST MELBOURNE,4545,1904,1,4545,URBAN
ESSENDON,5193,1904,1,5193,URBAN
EVELYN,3213,1904,1,3213,RURAL
FITZROY,4642,1904,1,4642,URBAN
FLEMINGTON,4736,1904,1,4736,URBAN
GEELONG,4728,1904,1,4728,METRO
GIPPSLAND EAST,3045,1904,1,3045,RURAL
GIPPSLAND NORTH,2995,1904,1,2995,RURAL
GIPPSLAND SOUTH,4139,1904,1,4139,RURAL
GIPPSLAND WEST,3375,1904,1,3375,RURAL
GLENELG,3367,1904,1,3367,RURAL
GOULBURN VALLEY,3319,1904,1,3319,RURAL
GRENVILLE,3940,1904,1,3940,RURAL
GUNBOWER,3131,1904,1,3131,RURAL
HAMPDEN,4244,1904,1,4244,RURAL
HAWTHORN,5736,1904,1,5736,URBAN
JIKA JIKA,4644,1904,1,4644,URBAN
KARA KARA,3529,1904,1,3529,RURAL
KORONG,2787,1904,1,2787,RURAL
LOWAN,3029,1904,1,3029,RURAL
MARYBOROUGH,4401,1904,1,4401,RURAL
MELBOURNE,5820,1904,1,5820,URBAN
MORNINGTON,4231,1904,1,4231,RURAL
NORTH MELBOURNE,5247,1904,1,5247,URBAN
OVENS,3351,1904,1,3351,RURAL
POLWARTH,3589,1904,1,3589,RURAL
PORT FAIRY,3782,1904,1,3782,RURAL
PORT MELBOURNE,5344,1904,1,5344,URBAN
PRAHRAN,4980,1904,1,4980,URBAN
RICHMOND,5282,1904,1,5282,URBAN
RODNEY,3906,1904,1,3906,RURAL
ST KILDA,5024,1904,1,5024,URBAN
STAWELL AND ARARAT,3674,1904,1,3674,RURAL
BOURKE WEST,2169,1902,1,2169,RURAL
TOORAK,4900,1904,1,4900,URBAN
UPPER GOULBURN,3825,1904,1,3825,RURAL
WALHALLA,2817,1904,1,2817,RURAL
WANGARATTA,5820,1904,1,5820,RURAL
WARANGA,3381,1904,1,3381,RURAL
WARRENHEIP,3600,1904,1,3600,RURAL
WARRNAMBOOL,2538,1904,1,2538,RURAL
WILLIAMSTOWN,5723,1904,1,5723,URBAN
BOX HILL,25199,1945,1,25199,URBAN
BOX HILL,27486,1947,1,27486,URBAN
ABBOTSFORD,4303,1907,1,4303,URBAN
ALBERT PARK,5045,1907,1,5045,URBAN
ALLENDALE,3153,1907,1,3153,RURAL
BALLARAT EAST,4278,1907,1,4278,METRO
BALLARAT WEST,4041,1907,1,4041,METRO
BARWON,3891,1907,1,3891,RURAL
BENALLA,3563,1907,1,3563,RURAL
